t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
inf,57.0,54.224180551510294,54.22417896078904,2065988.2499475926,68.63608346111849,58.81387273343416,66.64123623467775,3810086.6235959176,0.08823080143223909,0.37945697320871297,4.5048514328115,6.352649031536583,29141.930626394158,10091.265081499732,1.0,57173.1084066127,0.0
inf,48.0,56.11896006113534,56.11895979529652,2155444.0482596625,68.37315112547786,59.59336049923768,28.04176391498132,3840848.165952375,0.13392164909073354,0.45509637192518043,4.512263188330253,6.205920394716385,35808.23369256433,9297.331170914771,1.0,136968.85037607784,0.0
27.0,43.0,19.791023160134834,19.79102316013448,726601.6908308932,28.50994520235751,20.752755276770944,58.8671479184762,3671370.0193858137,0.12602203746452947,0.4080158500167333,2.309994440602177,5.447715760398812,18685.372244209662,7526.8730488088495,1.0,62367.04425480596,0.0
inf,50.0,219.08596397679537,219.0860556228224,3096078.1598128392,172.35327979467547,200.80747620865503,8.883983115419834,1413179.6047604228,0.06584850436254754,0.34791732284822446,5.434834031561243,6.882522293685288,37019.32029558257,11238.32542331781,1.0,159070.49646544037,0.0
22.0,45.0,23.267495612935456,23.26749561293542,732975.4645798526,27.14457806574362,23.465091279930768,46.852256870913,3150212.1103758086,0.15700718893325444,0.144409180776187,2.0074731032093434,6.184696325581944,21634.47128047826,14069.055744438767,1.0,67237.1475947306,0.0
inf,32.0,63.08546531074124,63.085465310651415,1452419.1225873597,69.20138028213532,64.11527285470932,5.359198017647087,2302303.8911311063,0.15233145394182615,0.24399887275603455,3.6490675066536897,5.841716064830512,36928.31658551106,5814.19466661554,1.0,429598.58612239046,0.0
54.0,35.0,41.82794277551094,41.8279427755105,1519244.460694426,48.31905361399177,42.561734942234125,15.12315130980525,3632128.094006813,0.13363051936734316,0.25205485790623444,2.5211886554352687,5.313082137646597,38849.848896138385,15761.493845876674,1.0,240170.05580390416,0.0
inf,32.0,74.64741141164414,74.64741140756796,1905191.0959269262,80.1356537625956,75.8701939089812,7.997820716497773,2552253.4002160165,0.08076758005142921,0.3432112667137723,3.371890241098689,5.184055959495931,36945.157333333445,10139.982840201883,1.0,319118.60626623826,0.0
inf,42.0,66.1316633189754,66.13166096039622,2199574.390558655,77.30946795824609,69.86004340733041,17.864061286370994,3326053.3308369443,0.06844130367317759,0.23915403173574556,5.007569802442366,5.716001690534269,35211.59563761616,4815.110267878173,1.0,186186.8517756646,0.0
95.0,50.0,41.25694853282356,41.25694772551638,1832592.4307579529,58.66878656812125,46.46891114883832,25.78045318019155,4441900.082115776,0.15173260561846394,0.39310031950780255,5.880230614753548,6.808697286073998,29118.119428198945,7564.0557139829525,1.0,172297.20715416735,0.0
