month,operational,effective,frac_of_t0,frontier_relative,pool
0,1980000.0,1980000.0,1.0,13.2,0.0
1,1961383.9323627017,1961383.9323627017,0.9905979456377282,11.444082248263152,15661.085266923683
2,1958855.1004384786,1958855.1004384786,0.9893207577972114,10.003000375892432,11346.38636350107
3,1952193.5956109504,1952193.5956109504,0.9859563614196719,8.724900306805745,12373.580494236889
4,1946750.8852724866,1946750.8852724866,0.9832075178143872,7.614783964487553,12038.412009744163
5,1941129.5514462132,1941129.5514462132,0.9803684603263703,6.645250293664946,12087.533468891861
6,1935719.021702351,1935719.021702351,0.977635869546642,5.799743088300936,12029.562346228711
7,1930406.1402438292,1930406.1402438292,0.974952596082742,5.0620303510298355,12002.709067760143
8,1925219.2163232483,1925219.2163232483,0.9723329375369941,4.418408427496563,11968.070744826387
9,1920146.8420646617,1920146.8420646617,0.9697711323558897,3.8568231857097945,11936.569587777987
10,1915188.859919494,1915188.859919494,0.9672671009694415,3.3667937324977384,11905.111756587776
11,1910342.023030606,1910342.023030606,0.9648192035508112,2.9391763781279163,11874.546811110862
12,1905604.0274878696,1905604.0274878696,0.962426276509025,2.566000859952695,11844.615440919164
13,1900972.3763365375,1900972.3763365375,0.960087058755827,2.2403174302597852,11815.37073328294
14,1896444.697527354,1896444.697527354,0.9578003522865424,1.9560662089647567,11786.778339192168
15,1892018.652887701,1892018.652887701,0.9555649762059096,1.7079627627175693,11758.828942571236
16,1887691.9621801632,1887691.9621801632,0.9533797788788704,1.4913985861181691,11731.506611239562
17,1883462.3948200713,1883462.3948200713,0.9512436337475108,1.302354365606,11704.797690691954
18,1879327.7707250488,1879327.7707250488,0.9491554397601257,1.1373244201381016,11678.688292797802
19,1875285.9586288244,1875285.9586288244,0.9471141205196083,0.9932508626354845,11653.164993128381
20,1871334.8751408677,1871334.8751408677,0.9451186238085191,0.8674662295463771,11628.214625854715
21,1867472.483627973,1867472.483627973,0.9431679210242288,0.7576434847547149,11603.824332712738
22,1863696.793176973,1863696.793176973,0.9412610066550369,0.66175244668009,11579.981540691584
23,1860005.85756498,1860005.85756498,0.9393968977600908,0.5780218103824352,11556.673959964766
24,1856397.774257171,1856397.774257171,0.9375746334632177,0.5049060437281649,11533.88957631406
25,1852870.6834258286,1852870.6834258286,0.9357932744574892,0.44105652991392524,11511.616645285805
26,1849422.766991748,1849422.766991748,0.9340519025210848,0.3852964097899475,11489.84368603886
27,1846052.2476870655,1846052.2476870655,0.9323496200439725,0.3365986480345921,11468.559475454314
28,1842757.388139153,1842757.388139153,0.9306855495652288,0.2940669086834888,11447.753042342616
29,1839536.489975066,1839536.489975066,0.9290588333207404,0.2569188790024458,11427.413661790555
30,1836387.8929460999,1836387.8929460999,0.9274686328010605,0.2244717272503601,11407.530849632349
31,1833309.9740719942,1833309.9740719942,0.925914128319189,0.19612942040795514,11388.094357045646
32,1830301.1468043507,1830301.1468043507,0.9243945185880559,0.17137166323395914,11369.094165268581
33,1827359.8602088275,1827359.8602088275,0.9229090203074887,0.14974425073352599,11350.520480435554
34,1824484.5981656923,1824484.5981656923,0.9214568677604507,0.13085065287669465,11332.363728528806
35,1821673.8785883223,1821673.8785883223,0.9200373124183446,0.11434467370257655,11314.614550443417
36,1818926.2526592442,1818926.2526592442,0.9186496225551739,0.09992404723577376,11297.263797163057
37,1816240.3040833266,1816240.3040833266,0.9172930828703669,0.08732485031490703,11280.302525043995
38,1813614.6483577325,1813614.6483577325,0.9159669941200669,0.07631662782803605,11263.721991205011
39,1811047.9320582629,1811047.9320582629,0.9146706727566984,0.0666981392610558,11247.513649020773
40,1808538.8321417184,1808538.8321417184,0.9134034505766254,0.058293647149411126,11231.66914371639
41,1806086.0552639212,1806086.0552639212,0.9121646743757178,0.05094967820392134,11216.180308060837
42,1803688.3371130468,1803688.3371130468,0.9109537056126499,0.04453219675241384,11201.039158157064
43,1801344.4417579197,1801344.4417579197,0.9097699200797574,0.03892413786929572,11186.237889326612
44,1799053.161010938,1799053.161010938,0.9086127075812818,0.03402325430230484,11171.768872086606
45,1796813.3138053003,1796813.3138053003,0.9074814716188385,0.029740237177563727,11157.624648217034
46,1794623.7455862104,1794623.7455862104,0.9063756290839446,0.025997075582224374,11143.797926916332
47,1792483.32771575,1792483.32771575,0.9052946099574496,0.022725624585525253,11130.28158104326
48,1790390.9568911083,1790390.9568911083,0.9042378570157112,0.019866355148510425,11117.068643443137
49,1788345.5545758721,1788345.5545758721,0.9032048255433698,0.01736726276360014,11104.152303356537
50,1786346.0664440831,1786346.0664440831,0.9021949830525672,0.01518291462174906,11091.525902908596
51,1784391.461836772,1784391.461836772,0.9012078090084708,0.013273617682917285,11079.182933677159
52,1782480.7332306947,1782480.7332306947,0.9002427945609569,0.011604692273637335,11067.117033337914
53,1780612.895718992,1780612.895718992,0.8992994422823192,0.010145837795945821,11055.32198238488
54,1778786.986503509,1778786.986503509,0.8983772659108632,0.00887057884176567,11043.79170092447
55,1777002.0643985095,1777002.0643985095,0.8974757901002574,0.007755781498123567,11032.520245541571
56,1775257.2093455305,1775257.2093455305,0.8965945501745104,0.006781230929378701,11021.5018062359
