month,operational,effective,frac_of_t0,frontier_relative,pool
0,10500000.0,10500000.0,1.0,70.0,0.0
1,10273496.700684989,10273496.700684989,0.9784282572080942,59.94274720007128,83051.20974883772
2,10134966.61919239,10134966.61919239,0.9652349161135609,51.75475964441952,60451.32799322215
3,9979413.85613892,9979413.85613892,0.9504203672513257,44.60079738552728,63539.812276913035
4,9831423.636296023,9831423.636296023,0.9363260605996212,38.45595634249429,61460.11289400614
5,9685610.25968111,9685610.25968111,0.9224390723505819,33.157655229408604,60861.48100631039
6,9543392.182719778,9543392.182719778,0.9088944935923599,28.593624503414667,59872.77360157611
7,9404275.920722472,9404275.920722472,0.8956453257830925,24.660473849375165,59019.77448646929
8,9268307.966572693,9268307.966572693,0.882695996816447,21.2709127775829,58153.989828398655
9,9135384.98207799,9135384.98207799,0.8700366649598086,18.34941153322322,57316.62317325249
10,9005447.804838344,9005447.804838344,0.85766169569889,15.831068080116001,56495.52617811187
11,8878426.82575892,8878426.82575892,0.8455644595960875,13.659994957243189,55693.57168405157
12,8754257.310705269,8754257.310705269,0.8337387914957399,11.788090003740235,54909.4190769631
13,8632875.046832975,8632875.046832975,0.8221785758888548,10.173940811252884,54142.92500209032
14,8514217.52485348,8514217.52485348,0.8108778595098551,8.781892357766061,53393.620981571126
15,8398223.564912751,8398223.564912751,0.7998308157059764,7.581242975567822,52661.14142090948
16,8284833.381237037,8284833.381237037,0.7890317505940034,6.545553532331171,51945.1029480309
17,8173988.524258283,8173988.524258283,0.7784750975484079,5.652053191111409,51245.13810636669
18,8065631.858097267,8065631.858097267,0.7681554150568826,4.881128358210137,50560.88563148889
19,7959707.528970991,7959707.528970991,0.7580673837115229,4.2158830940414616,49891.99294693521
20,7856160.937004586,7856160.937004586,0.7482058035242463,3.641760968207197,49238.11522797115
21,7754938.707917719,7754938.707917719,0.738565591230259,3.146219737230937,48598.91543609776
22,7655988.665559893,7655988.665559893,0.7291417776723708,2.71845144002896,47974.06408561169
23,7559259.805002236,7559259.805002236,0.7199295052383081,2.3491415469834984,47363.23909056524
24,7464702.266250204,7464702.266250204,0.7109240253571623,2.030261693439702,46766.12559401825
25,7372267.308541618,7372267.308541618,0.7021206960515827,1.7548912969421497,46182.4158070707
26,7281907.285222978,7281907.285222978,0.6935149795450456,1.5170640177547872,45611.808849835485
27,7193575.619189371,7193575.619189371,0.6851024399227973,1.3116355893975773,45054.01059645172
28,7107226.77887579,7107226.77887579,0.6768787408453133,1.1341700332494826,44508.7335234445
29,7022816.254787366,7022816.254787366,0.6688396433130824,0.9808416899871236,43975.69656152604
30,6940300.536556443,6940300.536556443,0.660981003481566,0.8483508604372791,43454.624950712954
31,6859637.090514664,6859637.090514664,0.653298770525206,0.7338511576322879,42945.25009869871
